Climate_2021	
1	-0.15	0.000
2	2.41	0.000
3	4.93	0.000
4	5.92	0.000
5	2.81	0.000
6	-0.61	0.000
7	-7.54	0.000
8	-3.82	0.000
9	-0.77	0.000
10	0.94	0.000
11	1.16	0.000
12	3.66	0.000
13	7.36	0.000
14	7.36	0.000
15	7.36	0.000
16	1.15	0.000
17	1.68	0.000
18	3.40	0.000
19	4.38	0.000
20	7.41	0.000
21	8.00	0.380
22	5.58	0.353
23	4.10	0.525
24	6.47	0.000
25	8.28	0.392
26	5.05	0.000
27	5.14	0.000
28	2.22	0.000
29	3.32	0.000
30	7.27	0.000
31	8.54	0.445
32	6.86	0.000
33	4.19	0.000
34	7.82	0.000
35	6.23	0.000
36	7.23	0.000
37	8.92	0.000
38	9.12	0.000
39	2.71	0.000
40	5.83	0.000
41	8.07	0.000
42	7.68	0.000
43	8.73	0.078
44	9.28	0.000
45	3.82	0.059
46	3.82	0.000
47	5.80	0.000
48	1.40	0.000
49	3.37	0.000
50	4.13	0.000
51	14.04	0.000
52	15.01	0.000
53	8.77	0.000
54	8.77	0.000
55	8.77	0.000
56	8.77	0.000
57	8.37	0.226
58	9.52	0.000
59	9.52	0.441
60	8.37	0.401
61	4.50	0.000
62	8.05	0.000
63	8.05	0.184
64	8.78	0.000
65	6.23	0.000
66	6.23	0.000
67	7.90	0.000
68	7.28	0.000
69	9.20	0.000
70	9.29	0.000
71	8.35	0.777
72	8.35	0.000
73	10.58	0.000
74	12.98	0.000
75	8.73	0.000
76	9.73	0.000
77	10.65	0.000
78	9.98	0.098
79	8.44	1.295
80	7.90	0.028
81	9.55	0.000
82	12.75	0.000
83	13.11	0.000
84	13.67	0.000
85	16.00	0.000
86	14.19	0.497
87	16.48	0.000
88	13.14	0.000
89	12.93	0.000
90	12.39	0.000
91	12.50	0.000
92	13.26	0.041
93	10.33	0.000
94	10.69	0.000
95	14.72	0.000
96	12.79	0.000
97	15.52	0.000
98	11.76	0.000
99	12.76	0.000
100	12.76	0.000
101	14.40	0.000
102	14.62	2.884
103	11.40	0.000
104	10.92	0.000
105	13.29	0.000
106	13.72	0.000
107	13.58	0.000
108	13.73	0.000
109	14.43	0.000
110	15.88	0.000
111	16.65	0.000
112	17.32	0.140
113	15.47	0.560
114	15.24	0.000
115	15.24	0.000
116	16.58	0.000
117	16.02	0.220
118	17.05	0.000
119	19.61	0.000
120	17.63	0.000
121	15.49	0.565
122	14.88	0.000
123	19.87	0.000
124	16.30	0.000
125	19.19	1.312
126	19.98	1.554
127	18.04	0.000
128	22.11	0.000
129	22.11	0.000
130	22.24	0.000
131	18.02	0.000
132	19.13	0.000
133	19.13	0.046
134	21.81	0.000
135	22.88	0.059
136	22.88	0.518
137	18.53	3.056
138	19.51	1.813
139	17.91	0.000
140	20.69	0.000
141	20.69	0.000
142	20.69	0.000
143	20.69	0.000
144	21.01	0.000
145	21.60	0.000
146	19.52	0.000
147	23.06	0.703
148	21.81	0.000
149	24.57	0.000
150	24.01	0.000
151	24.01	0.000
152	21.89	0.000
153	21.89	0.000
154	20.66	0.000
155	23.23	0.068
156	27.14	0.000
157	27.14	0.000
158	25.85	0.000
159	23.74	0.000
160	24.97	0.000
161	24.83	6.867
162	24.00	0.309
163	23.99	0.000
164	24.47	0.021
165	24.54	0.033
166	24.85	0.000
167	25.85	1.217
168	23.39	0.000
169	21.47	0.000
170	24.47	0.029
171	25.34	0.378
172	25.63	0.000
173	26.42	0.000
174	26.23	0.000
175	25.48	0.000
176	26.22	0.000
177	24.72	0.000
178	24.51	2.160
179	24.36	0.156
180	25.50	0.000
181	25.50	0.000
182	26.12	0.000
183	26.02	0.000
184	26.23	0.214
185	24.37	2.442
186	26.65	13.928
187	26.65	0.898
188	27.41	0.055
189	27.42	0.795
190	28.42	3.422
191	28.42	0.000
192	28.42	0.000
193	31.54	0.000
194	31.22	0.000
195	31.10	0.000
196	29.66	0.000
197	27.31	0.623
198	27.55	1.364
199	27.55	0.000
200	27.55	0.000
201	28.57	0.000
202	27.82	0.000
203	28.33	0.000
204	28.40	0.000
205	28.00	0.000
206	26.91	0.139
207	26.60	1.791
208	26.37	7.759
209	27.30	7.098
210	27.30	0.836
211	28.30	0.158
212	27.83	0.000
213	27.83	0.000
214	27.88	0.000
215	28.12	0.000
216	28.12	0.000
217	28.41	0.000
218	28.55	0.000
219	27.66	0.000
220	27.58	0.000
221	28.12	0.000
222	28.43	0.000
223	28.08	0.000
224	27.78	0.000
225	25.59	2.133
226	25.86	0.180
227	25.57	0.214
228	25.57	0.295
229	26.34	0.000
230	26.34	0.417
231	26.74	1.158
232	27.31	2.291
233	26.92	0.000
234	27.55	0.000
235	28.37	0.080
236	25.93	1.952
237	27.46	0.000
238	28.15	0.881
239	26.37	0.000
240	26.83	0.071
241	27.58	0.026
242	28.94	0.000
243	30.48	0.000
244	27.56	0.000
245	25.62	0.493
246	26.07	0.000
247	26.96	0.236
248	26.82	0.524
249	26.02	0.000
250	24.38	0.000
251	25.22	0.000
252	26.22	0.499
253	27.22	0.062
254	26.22	0.212
255	26.23	0.028
256	25.65	0.869
257	25.04	0.366
258	24.69	0.037
259	24.69	0.000
260	23.69	0.000
261	24.44	0.000
262	25.36	0.000
263	23.07	0.000
264	25.40	0.000
265	26.64	0.000
266	25.95	0.000
267	24.47	0.000
268	24.93	0.000
269	24.93	0.000
270	26.65	0.000
271	25.40	0.394
272	22.05	0.000
273	23.75	0.000
274	23.75	0.000
275	25.07	0.000
276	25.96	0.000
277	26.83	0.000
278	25.60	0.000
279	25.78	0.000
280	25.87	0.062
281	24.48	1.552
282	24.48	0.000
283	19.85	0.000
284	19.85	0.000
285	21.52	0.031
286	23.68	1.054
287	24.55	0.211
288	19.74	2.600
289	15.20	0.362
290	13.24	0.000
291	15.44	0.000
292	15.43	0.388
293	12.77	0.355
294	13.94	0.041
295	14.94	0.000
296	14.86	0.000
297	15.86	0.000
298	15.47	0.000
299	16.63	0.000
300	15.65	0.000
301	15.72	0.000
302	16.49	0.000
303	15.72	0.000
304	16.49	0.000
305	16.24	0.000
306	16.24	0.000
307	15.70	0.000
308	18.07	1.261
309	17.06	3.210
310	18.27	0.094
311	10.89	1.508
312	5.33	0.000
313	8.63	0.000
314	9.86	0.000
315	10.10	0.000
316	12.06	0.000
317	12.06	0.000
318	11.98	0.000
319	13.66	0.000
320	13.21	0.000
321	13.03	0.000
322	13.50	0.000
323	13.85	0.000
324	14.97	0.000
325	12.90	0.000
326	4.78	0.000
