Daily C pools (kg C/ha) and fluxes (kg C/ha/day) at site W-2 in year 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.04481,,,,,,,,,,,,
Day,Very labile litter,Labile litter,Resistant litter,Microbe,Humads,Humus,CharC,SOC,SOC0-10cm, SOC10-20cm,SOC20-30cm,SOC30-40cm,SOC40-50cm,SOC0-10cm, SOC10-20cm,SOC20-30cm,SOC30-40cm,SOC40-50cm,dSOC,DOC,DOC_produce,DOC_consume,DOC_leach,Photosynthesis,Leaf-respiration, Stem-respiration, Root-respiration,Soil-heterotrophic-respiration, NPP,Eco-respiration, NEE,Stub,DOC_from_root,CH4-prod.,CH4-oxid.,CH4-flux,CH4-pool,DOC-leach,Litter-C,Manure-C, SoilCO2_0-10cm,SoilCO2_10-20cm,SoilCO2_20-30cm,SoilCO2_30-40cm,SoilCO2_40-50cm,Acetate_produced,Acetate_consumed,Acetate_pool
1,0,0,695.64,32.35,1570.15,67374.55,0,69673.71,19371.58,16240.19,12307.83,9327.65,12426.46,0.02,0.017,0.013,0.01,0.006,-0.52,1.03,1.03,0,0,0,0,0,0,0.52,0,0.52,0.52,0,0,0,-0.00127,-0.00127,0,0,0,0,0.52,0,0,0,0,0,0,0
2,0,0,694.44,16.35,1586.15,67374.07,0,69673.13,19371,16240.19,12307.83,9327.65,12426.46,0.02,0.017,0.013,0.01,0.006,-0.59,2.11,1.08,0,0,0,0,0,0,0.59,0,0.59,0.59,0,0,0,-0.00156,-0.00156,0,0,0,0,0.59,0,0,0,0,0,0,0
3,0,0,693.3,16.66,1585.84,67373.63,0,69672.57,19370.45,16240.19,12307.83,9327.65,12426.46,0.02,0.017,0.013,0.01,0.006,-0.56,3.15,1.04,0,0,0,0,0,0,0.56,0,0.56,0.56,0,0,0,-0.00153,-0.00153,0,0,0,0,0.55,0,0,0,0,0,0,0
4,0,0,692.2,16.96,1585.54,67373.2,0,69672.04,19369.92,16240.19,12307.83,9327.64,12426.46,0.02,0.017,0.013,0.01,0.006,-0.53,4.15,1.01,0,0,0,0,0,0,0.53,0,0.53,0.53,0,0,0,-0.00153,-0.00153,0,0,0,0,0.52,0,0,0,0,0,0,0
5,0,0,690.92,16.36,1586.14,67372.69,0,69671.36,19369.26,16240.18,12307.82,9327.64,12426.45,0.02,0.017,0.013,0.01,0.006,-0.69,5.25,1.14,0.04,0,0,0,0,0,0.68,0,0.68,0.68,0,0,0,-0.00179,-0.00179,0,0,0,0,0.64,0,0,0,0,0,0,0
6,0,0,689.65,16.36,1586.14,67372.16,0,69670.7,19368.61,16240.17,12307.82,9327.64,12426.45,0.02,0.017,0.013,0.01,0.006,-0.66,6.37,1.14,0.02,0,0,0,0,0,0.66,0,0.66,0.66,0,0,0,-0.00182,-0.00182,0,0,0,0,0.64,0,0,0,0,0,0,0
7,0,0,688.51,16.34,1586.17,67371.72,0,69670.09,19368.04,16240.16,12307.81,9327.63,12426.44,0.02,0.017,0.013,0.01,0.006,-0.61,7.35,1.04,0.07,0,0,0,0,0,0.61,0,0.61,0.61,0,0,0,-0.0013,-0.0013,0,0,0,0,0.54,0,0,0,0,0,0,0
8,0,0,688.01,16.26,1586.18,67371.34,0,69669.99,19368,16240.14,12307.8,9327.62,12426.43,0.02,0.017,0.013,0.01,0.006,-0.1,8.19,0.95,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,-0.00101,-0.00101,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,686.99,16.31,1586.13,67370.95,0,69669.37,19367.46,16240.11,12307.78,9327.61,12426.42,0.02,0.017,0.013,0.01,0.006,-0.61,8.99,0.93,0.13,0,0,0,0,0,0.61,0,0.61,0.61,0,0,0,-0.00112,-0.00112,0,0,0,0,0.48,0,0,0,0,0,0,0
10,0,0,685.97,16.31,1586.13,67370.6,0,69668.89,19366.98,16240.11,12307.78,9327.61,12426.42,0.02,0.017,0.013,0.01,0.006,-0.48,9.89,0.91,0,0,0,0,0,0,0.49,0,0.49,0.49,0,0,0,-0.00121,-0.00121,0,0,0,0,0.48,0,0,0,0,0,0,0
