Daily N pools and fluxes at site W-2 in year 1,,,,,,,,,,,,,,,,,,,3.151352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N uptake,,N pools (kg N/ha),,,,,,,,,,,,,,,,N gas fluxes (kg N/ha/day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Crop,Urea,NH4+,NO3-,exchengeable-NH4,NH4+,NO3-,exchengeable-NH4,NH4+,NO3-,exchengeable-NH4,NH4+,NO3-,exchengeable-NH4,NH4+,NO3-,exchengeable-NH4,NH3,N2O-flux,NO-flux,N2-flux,NH3-flux,NO3-leach,Urea-leach,DON-leach,ION-runoff,Gross N mineralization,N assimilation,Ice_DOC,Ice_N,Ice_N2O,Ice_N2,nitrification,nitrification,nitrification,nitrification,nitrification,denitrification,denitrification,denitrification,denitrification,denitrification,N_fixation,Litter_N,SON0-10cm, SON10-20cm,SON20-30cm,SON30-40cm,SON40-50cm,SON0-10cm, SON10-20cm,SON20-30cm,SON30-40cm,SON40-50cm
,kgN/ha/day,,0-10cm,0-10cm,0-10cm,10-20cm,10-20cm,10-20cm,20-30cm,20-30cm,20-30cm,30-40cm,30-40cm,30-40cm,40-50cm,40-50cm,40-50cm,0-50cm,,,,,,,,,,,,,,,0-10cm,10-20cm,20-30cm,30-40cm,40-50cm,0-10cm,10-20cm,20-30cm,30-40cm,40-50cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0.48,0.06,0,0.49,0.07,0.03,0.34,0.03,0.05,0.24,0,0.04,0.17,0,0,0,0,0,0,0,0,0,0,0.07,0.03,0,0,0,0,0.000864,0.000044,0,0,0,0,0,0,0,0,0,0,1919.76,1609.39,1219.7,924.36,1231.45,0.002,0.0017,0.0013,0.001,0.0006
2,0,0,0,0.49,0.08,0,0.48,0.09,0.04,0.34,0.03,0.06,0.24,0,0.05,0.17,0,0,0.000005,0,0.000001,0.01,0.002,0,0,0,0.08,0.03,0,0,0,0,0.000061,0,0,0,0,0,0,0,0,0,0,0,1919.75,1609.38,1219.69,924.35,1231.44,0.002,0.0017,0.0013,0.001,0.0006
3,0,0,0,0.48,0.1,0,0.48,0.1,0.06,0.34,0.03,0.07,0.24,0,0.06,0.17,0,0,0.000002,0.000001,0.000097,0,0,0,0,0,0.08,0.03,0,0,0,0,0.000064,0.000002,0,0,0,0,0,0,0,0,0,0,1919.73,1609.37,1219.68,924.34,1231.42,0.002,0.0017,0.0013,0.001,0.0006
4,0,0,0,0.48,0.12,0,0.47,0.12,0.07,0.34,0.03,0.08,0.24,0,0.06,0.17,0,0,0.000001,0.000001,0.000177,0,0,0,0,0,0.07,0.03,0,0,0,0,0.000029,0.000002,0,0,0,0,0,0,0,0,0,0,1919.72,1609.36,1219.67,924.34,1231.41,0.002,0.0017,0.0013,0.001,0.0006
5,0,0,0.01,0.55,0.18,0.01,0.47,0.14,0.09,0.33,0.03,0.09,0.23,0,0.07,0.17,0,0,0.001396,0.000014,0.000104,0.03,0.0115,0,0,0,0.08,0.03,0,0,0,0,0.001347,0.000001,0,0,0,0,0,0,0,0,0,0,1919.7,1609.34,1219.65,924.33,1231.4,0.002,0.0017,0.0013,0.001,0.0006
6,0,0,0,0.58,0.23,0.01,0.46,0.16,0.1,0.33,0.03,0.1,0.23,0,0.08,0.16,0,0,0.000285,0.000015,0.000688,0.02,0.0079,0,0,0,0.08,0.03,0,0,0,0,0.000557,0.000001,0,0,0,0,0,0,0,0,0,0,1919.68,1609.33,1219.64,924.32,1231.39,0.002,0.0017,0.0013,0.001,0.0006
7,0,0,0.01,0.65,0.3,0.01,0.45,0.18,0.12,0.32,0.03,0.11,0.23,0,0.09,0.16,0,0,0.002249,0.000024,0.000203,0.03,0.0159,0,0,0,0.08,0.03,0,0,0,0,0.001883,0.000002,0,0,0,0,0,0,0,0,0,0,1919.67,1609.32,1219.63,924.31,1231.38,0.002,0.0017,0.0013,0.001,0.0006
8,0,0,0.01,0.75,0.39,0.01,0.44,0.2,0.13,0.31,0.03,0.12,0.22,0,0.09,0.16,0,0,0.004234,0.000033,0.000075,0.04,0.0196,0,0,0,0.07,0.02,0,0,0,0,0.002539,0.000002,0,0,0,0,0,0,0,0,0,0,1919.66,1609.3,1219.62,924.3,1231.37,0.002,0.0017,0.0013,0.001,0.0006
