Results of Monte Carlo test
,,Output parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variation of input parameters
No.  ,  Year , Grain-C   , Shoot-C   , Root-C    , CutBiomassC, GrazedBiomassC, dSOC      , Field-CH4 , Field-N2O , Field-NO  , Field-N2  , Field-NH3 , Field-N-leach, Field-N-runoff, Field_runoff, Temp      , Prec      , SOC       , None      
No.  ,  Year , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    
    1,      1,    5055.56,    5497.06,    1430.67,       0.00,       0.00,    5527.44,     155.61,       0.27,       0.11,       5.22,      86.24,       4.01,       0.07,      63.74,      -0.05,       0.09,       0.03,       0.00,       0.00
   34,      1,    5058.52,    5455.42,    1414.04,       0.00,       0.00,    5501.20,     153.57,       0.32,       0.12,       5.24,      86.56,       4.92,       0.10,      69.50,      -0.05,       0.09,       0.03,       0.00,       0.00
    1,      2,    5935.88,    7373.72,    2335.25,    2719.29,       0.00,    4671.04,     148.83,       1.58,       0.13,       4.65,      97.17,       7.63,       0.06,      69.12,      -0.05,       0.09,       0.03,       0.00,       0.00
   34,      2,    5935.88,    7346.80,    2322.38,    2711.75,       0.00,    4643.24,     148.53,       1.60,       0.13,       4.95,      97.34,       7.70,       0.06,      69.12,      -0.05,       0.09,       0.03,       0.00,       0.00
    1,      3,     581.77,    1590.46,     760.62,       0.00,       0.00,   -1692.51,      -0.94,       0.34,       0.03,       0.15,       9.44,       5.50,       0.00,      63.93,      -0.05,       0.09,       0.03,       0.00,       0.00
    2,      1,    5053.13,    5508.99,    1433.91,       0.00,       0.00,    5539.91,     157.35,       0.28,       0.11,       5.17,      86.19,       4.05,       0.08,      55.59,       0.06,      -0.06,      -0.04,       0.00,       0.00
   34,      3,     581.77,    1590.46,     760.62,       0.00,       0.00,   -1720.59,      -0.98,       0.37,       0.03,       0.16,       9.54,       5.63,       0.00,      63.93,       0.06,      -0.06,      -0.04,       0.00,       0.00
    2,      2,    5973.89,    7120.88,    2321.86,    2716.49,       0.00,    4596.34,     155.18,       1.46,       0.14,       4.77,      96.81,       6.27,       0.07,      63.27,       0.10,       0.02,       0.07,       0.00,       0.00
   35,      1,    5051.20,    5517.93,    1436.34,       0.00,       0.00,    5440.63,     163.15,       0.31,       0.12,       5.40,      87.31,       4.40,       0.10,      57.55,       0.10,       0.02,       0.07,       0.00,       0.00
    2,      3,     600.14,    1579.16,     755.25,       0.00,       0.00,   -1705.51,      -0.93,       0.32,       0.03,       0.15,       9.31,       5.26,       0.00,       0.00,       0.10,       0.02,       0.07,       0.00,       0.00
   35,      2,    6001.40,    7080.73,    2300.94,    2717.12,       0.00,    4496.48,     157.10,       1.70,       0.14,       5.37,      98.85,       7.22,       0.08,      90.61,      -0.01,      -0.10,      -0.08,       0.00,       0.00
    3,      1,    5056.89,    5464.27,    1416.42,       0.00,       0.00,    5588.60,     152.10,       0.26,       0.11,       5.05,      85.50,       3.89,       0.10,      66.59,      -0.01,      -0.10,      -0.08,       0.00,       0.00
   35,      3,     583.72,    1602.61,     766.47,       0.00,       0.00,   -1720.30,      -1.02,       0.30,       0.04,       0.17,       8.84,       4.91,       0.00,      47.40,      -0.01,      -0.10,      -0.08,       0.00,       0.00
