Results of Monte Carlo test
,,Output parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variation of input parameters
No.  ,  Year , Grain-C   , Shoot-C   , Root-C    , CutBiomassC, GrazedBiomassC, dSOC      , Field-CH4 , Field-N2O , Field-NO  , Field-N2  , Field-NH3 , Field-N-leach, Field-N-runoff, Field_runoff, SOC       , F_rat     , None      , None      
No.  ,  Year , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    
    1,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5437.42,     158.80,       0.31,       0.12,       5.46,      87.36,       4.40,       0.09,      63.82,       0.11,       0.00,       0.00,       0.00,       0.00
    1,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4552.63,     151.39,       1.59,       0.14,       6.31,      98.38,       7.30,       0.08,      84.73,       0.11,       0.00,       0.00,       0.00,       0.00
    1,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1793.94,      -1.06,       0.42,       0.04,       0.18,       8.90,       5.78,       0.00,      55.39,       0.11,       0.00,       0.00,       0.00,       0.00
    2,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5158.49,     168.72,       0.38,       0.13,       6.24,      92.60,       4.87,       0.10,      63.82,       0.48,       0.03,       0.00,       0.00,       0.00
    2,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4344.83,     151.68,       1.77,       0.15,      10.12,     107.16,       8.33,       0.09,      84.73,       0.48,       0.03,       0.00,       0.00,       0.00
    2,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -2031.89,      -1.32,       0.72,       0.06,       0.20,      10.99,       7.80,       0.00,      55.42,       0.48,       0.03,       0.00,       0.00,       0.00
    3,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5624.57,     150.88,       0.25,       0.10,       4.89,      75.84,       4.08,       0.08,      63.82,      -0.13,      -0.08,       0.00,       0.00,       0.00
    3,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4710.73,     151.66,       1.47,       0.12,       2.93,      85.59,       6.35,       0.06,      84.72,      -0.13,      -0.08,       0.00,       0.00,       0.00
    3,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1640.92,      -0.84,       0.26,       0.03,       0.12,       8.22,       4.91,       0.00,      55.38,      -0.13,      -0.08,       0.00,       0.00,       0.00
    4,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5604.93,     151.75,       0.26,       0.11,       4.96,      79.00,       4.11,       0.08,      63.82,      -0.11,      -0.05,       0.00,       0.00,       0.00
    4,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4692.77,     151.74,       1.48,       0.12,       2.98,      89.64,       6.40,       0.06,      84.72,      -0.11,      -0.05,       0.00,       0.00,       0.00
    4,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1657.30,      -0.86,       0.28,       0.03,       0.13,       8.28,       4.99,       0.00,      55.38,      -0.11,      -0.05,       0.00,       0.00,       0.00
    5,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5656.61,     149.31,       0.27,       0.12,       4.88,      90.39,       4.09,       0.09,      63.82,      -0.18,       0.05,       0.00,       0.00,       0.00
    5,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4708.48,     151.38,       1.47,       0.14,       4.79,     105.14,       6.67,       0.07,      84.72,      -0.18,       0.05,       0.00,       0.00,       0.00
    5,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1606.41,      -0.79,       0.26,       0.03,       0.13,       8.19,       4.85,       0.00,      55.37,      -0.18,       0.05,       0.00,       0.00,       0.00
    6,      1,    5025.66,    5493.58,    1429.72,       0.00,       0.00,    5350.30,     162.28,       0.29,       0.11,       5.61,      72.08,       4.47,       0.08,      63.82,       0.23,      -0.13,       0.00,       0.00,       0.00
    6,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4521.08,     151.65,       1.60,       0.12,       5.24,      80.03,       7.13,       0.07,      84.73,       0.23,      -0.13,       0.00,       0.00,       0.00
    6,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1873.95,      -1.15,       0.45,       0.04,       0.18,       9.05,       6.00,       0.00,      55.40,       0.23,      -0.13,       0.00,       0.00,       0.00
    7,      1,    4918.71,    5493.58,    1429.72,       0.00,       0.00,    5841.71,     139.86,       0.20,       0.09,       4.23,      71.10,       3.76,       0.07,      63.82,      -0.43,      -0.09,       0.00,       0.00,       0.00
    7,      2,    5550.07,    7139.00,    2320.62,    2722.95,       0.00,    4873.17,     151.44,       1.26,       0.12,       2.53,      81.68,       5.82,       0.05,      84.72,      -0.43,      -0.09,       0.00,       0.00,       0.00
    7,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1441.28,      -0.50,       0.15,       0.02,       0.08,       7.63,       4.06,       0.00,      55.36,      -0.43,      -0.09,       0.00,       0.00,       0.00
    8,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5823.86,     140.79,       0.21,       0.10,       4.33,      75.22,       3.79,       0.08,      63.82,      -0.40,      -0.06,       0.00,       0.00,       0.00
    8,      2,    5726.96,    7139.00,    2320.62,    2722.95,       0.00,    4839.93,     151.39,       1.30,       0.13,       2.57,      86.06,       5.87,       0.05,      84.72,      -0.40,      -0.06,       0.00,       0.00,       0.00
    8,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1454.76,      -0.53,       0.16,       0.02,       0.08,       7.73,       4.16,       0.00,      55.36,      -0.40,      -0.06,       0.00,       0.00,       0.00
    9,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5677.65,     148.37,       0.25,       0.10,       4.77,      80.40,       4.01,       0.08,      63.82,      -0.21,      -0.03,       0.00,       0.00,       0.00
    9,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4743.48,     151.62,       1.42,       0.12,       2.86,      92.11,       6.23,       0.06,      84.72,      -0.21,      -0.03,       0.00,       0.00,       0.00
    9,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1590.40,      -0.76,       0.23,       0.03,       0.11,       8.07,       4.72,       0.00,      55.37,      -0.21,      -0.03,       0.00,       0.00,       0.00
   10,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5765.71,     143.84,       0.25,       0.11,       4.57,      89.10,       3.93,       0.08,      63.82,      -0.33,       0.05,       0.00,       0.00,       0.00
   10,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4789.23,     151.36,       1.38,       0.15,       3.43,     104.60,       6.29,       0.06,      84.72,      -0.33,       0.05,       0.00,       0.00,       0.00
   10,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1503.41,      -0.62,       0.18,       0.02,       0.10,       7.87,       4.41,       0.00,      55.36,      -0.33,       0.05,       0.00,       0.00,       0.00
   11,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5600.54,     151.85,       0.29,       0.12,       5.05,      93.93,       4.20,       0.09,      63.82,      -0.11,       0.07,       0.00,       0.00,       0.00
   11,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4668.73,     151.27,       1.54,       0.14,       5.71,     109.23,       6.91,       0.07,      84.72,      -0.11,       0.07,       0.00,       0.00,       0.00
   11,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1668.45,      -0.86,       0.35,       0.03,       0.15,       9.62,       5.55,       0.00,      55.38,      -0.11,       0.07,       0.00,       0.00,       0.00
   12,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5434.48,     158.86,       0.33,       0.13,       5.52,      96.15,       4.46,       0.10,      63.82,       0.11,       0.08,       0.00,       0.00,       0.00
   12,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4541.27,     151.12,       1.62,       0.15,       7.59,     109.53,       7.50,       0.08,      84.73,       0.11,       0.08,       0.00,       0.00,       0.00
   12,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1807.73,      -1.06,       0.51,       0.05,       0.16,      10.13,       6.66,       0.00,      55.39,       0.11,       0.08,       0.00,       0.00,       0.00
   13,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5070.91,     171.40,       0.36,       0.12,       6.50,      79.70,       4.89,       0.09,      63.82,       0.60,      -0.09,       0.00,       0.00,       0.00
   13,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4301.78,     152.20,       1.73,       0.14,       7.49,      91.80,       7.93,       0.08,      84.73,       0.60,      -0.09,       0.00,       0.00,       0.00
   13,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -2100.74,      -1.39,       0.68,       0.06,       0.26,      10.09,       7.24,       0.00,      55.43,       0.60,      -0.09,       0.00,       0.00,       0.00
   14,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5119.72,     169.89,       0.40,       0.14,       6.40,      97.21,       4.97,       0.10,      63.82,       0.53,       0.06,       0.00,       0.00,       0.00
   14,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4317.07,     151.48,       1.80,       0.16,      11.37,     113.43,       8.60,       0.10,      84.73,       0.53,       0.06,       0.00,       0.00,       0.00
   14,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -2060.77,      -1.35,       0.78,       0.07,       0.19,      11.11,       8.63,       0.00,      55.42,       0.53,       0.06,       0.00,       0.00,       0.00
   15,      1,    5056.23,    5493.58,    1429.72,       0.00,       0.00,    5311.56,     163.56,       0.31,       0.11,       5.75,      78.20,       4.53,       0.09,      63.82,       0.28,      -0.08,       0.00,       0.00,       0.00
   15,      2,    5899.10,    7139.00,    2320.62,    2722.95,       0.00,    4490.57,     151.68,       1.63,       0.13,       5.74,      88.27,       7.25,       0.07,      84.73,       0.28,      -0.08,       0.00,       0.00,       0.00
   15,      3,     584.48,    1577.77,     754.54,       0.00,       0.00,   -1905.30,      -1.19,       0.48,       0.05,       0.20,       9.18,       6.17,       0.00,      55.41,       0.28,      -0.08,       0.00,       0.00,       0.00
