Results of Monte Carlo test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Output parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variation of input parameters
No.  ,  Year , Grain-C   , Shoot-C   , Root-C    , CutBiomassC, GrazedBiomassC, dSOC      , Field-CH4 , Field-N2O , Field-NO  , Field-N2  , Field-NH3 , Field-N-leach, Field-N-runoff, Field_runoff, Temp      , Prec      , SOC       , None      ,,,,,,,,,,,,,
No.  ,  Year , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    ,,,,,,,,,,,,,,,,,,
1,1,5129.07,5459.48,1410.19,0,0,6422.77,169.42,0.35,0.15,1.72,153.28,4.08,0.13,66.78,-0.1,0.01,0.08,0,0,,,,,,,,,,,,
1,2,6122.74,8428.93,2562.15,2878.08,0,6168.66,142.14,0.71,0.27,23.79,235.6,16.96,0.13,88.35,-0.1,0.01,0.08,0,0,,,,,,,,,,,,
1,3,3351.84,2951.98,1142.86,0,0,-1057.5,-1.05,0.47,0.12,0.14,72.15,19.3,0,42.56,-0.1,0.01,0.08,0,0,,,,,,,,,,,,
2,1,5058.69,5469.26,1412.78,0,0,6435.3,170.91,0.35,0.15,1.7,153.52,4.07,0.14,70.43,-0.06,0.02,0.04,0,0,,,,,,,,,,,,
2,2,6136.85,8423.72,2558.92,2881.96,0,6154.98,144.51,0.7,0.27,23.28,236.16,17.03,0.14,92.2,-0.06,0.02,0.04,0,0,,,,,,,,,,,,
2,3,3287.24,2963.94,1147.49,0,0,-1048.73,-1.03,0.46,0.12,0.13,72.42,19.1,0,45.35,-0.06,0.02,0.04,0,0,,,,,,,,,,,,
3,1,5052.92,5614.35,1467.38,0,0,6429.25,177.03,0.34,0.15,1.73,154.56,3.78,0.15,54.99,0.07,-0.01,0,0,0,,,,,,,,,,,,
3,2,6131.3,8204.12,2562.07,2936.04,0,6034.45,150.77,0.7,0.28,23.35,236.42,16.27,0.11,70.7,0.07,-0.01,0,0,0,,,,,,,,,,,,
3,3,3317.37,3016.28,1168.81,0,0,-1017.44,-1.01,0.45,0.12,0.14,67.17,17.89,0,0,0.07,-0.01,0,0,0,,,,,,,,,,,,
4,1,5055.36,5601.85,1463.97,0,0,6487.06,172.14,0.33,0.15,1.66,154.43,3.6,0.14,54.02,0.02,-0.02,-0.06,0,0,,,,,,,,,,,,
4,2,6064.51,8239.59,2569.72,2948.12,0,6106.99,148.19,0.65,0.27,22.17,239.05,15.74,0.1,69.44,0.02,-0.02,-0.06,0,0,,,,,,,,,,,,
4,3,3251.96,3021.51,1170.8,0,0,-975.19,-0.96,0.41,0.11,0.14,67.33,17.09,0,0,0.02,-0.02,-0.06,0,0,,,,,,,,,,,,
5,1,5051.42,5621.65,1469.37,0,0,6407.32,179.11,0.37,0.15,1.73,154.87,4.28,0.16,53.03,0.1,0.08,0.01,0,0,,,,,,,,,,,,
5,2,6192.12,8218.75,2566.99,2940.51,0,6008.04,152.93,0.78,0.27,21.66,238.15,17.58,0.09,66.13,0.1,0.08,0.01,0,0,,,,,,,,,,,,
5,3,3338.45,3026.35,1172.71,0,0,-1041.65,-1.02,0.52,0.11,0.15,68.46,18.09,0,0,0.1,0.08,0.01,0,0,,,,,,,,,,,,
6,1,5059.04,5467.3,1412.26,0,0,6515.64,167.43,0.32,0.15,1.63,153.39,3.63,0.12,68.38,-0.06,-0.05,-0.06,0,0,,,,,,,,,,,,
6,2,6078.75,8409.69,2553.74,2879.92,0,6215.16,143.98,0.6,0.27,23.18,238.16,15.44,0.07,63.1,-0.06,-0.05,-0.06,0,0,,,,,,,,,,,,
6,3,3333.07,2961.55,1146.56,0,0,-973.3,-0.95,0.36,0.11,0.14,70.65,17.78,0,27.21,-0.06,-0.05,-0.06,0,0,,,,,,,,,,,,
7,1,5051.64,5620.6,1469.08,0,0,6470.04,176.7,0.33,0.15,1.68,154.64,3.45,0.08,65.91,0.09,-0.08,-0.06,0,0,,,,,,,,,,,,
7,2,6086.74,8216.66,2566.29,2939.87,0,6051.34,152.57,0.64,0.27,22.98,237.95,14.71,0.12,58.1,0.09,-0.08,-0.06,0,0,,,,,,,,,,,,
7,3,3240.92,3024.91,1172.15,0,0,-978.84,-0.97,0.36,0.11,0.14,67.18,16.13,0,0,0.09,-0.08,-0.06,0,0,,,,,,,,,,,,
8,1,5055.94,5598.72,1463.11,0,0,6443.49,173.29,0.34,0.15,1.72,154.41,3.8,0.12,52.38,0.01,0,0,0,0,,,,,,,,,,,,
8,2,6083.64,8233.28,2567.59,2946.19,0,6085.32,147.39,0.69,0.28,23.09,236.04,16.43,0.11,74.72,0.01,0,0,0,0,,,,,,,,,,,,
8,3,3269.37,3017.18,1169.12,0,0,-1011.8,-1.01,0.45,0.12,0.14,67.59,18.32,0,0,0.01,0,0,0,0,,,,,,,,,,,,
9,1,5057.99,5473.18,1413.81,0,0,6409.55,172.92,0.34,0.15,1.77,153.43,3.85,0.08,71.82,-0.04,-0.08,0.08,0,0,,,,,,,,,,,,
9,2,6017.36,8217.83,2559.75,2883.97,0,6106.18,145.26,0.69,0.29,25.59,235.42,15.73,0.13,58.4,-0.04,-0.08,0.08,0,0,,,,,,,,,,,,
9,3,3274.93,2968.72,1149.34,0,0,-1050.5,-1.07,0.43,0.13,0.15,70.21,19.1,0,24.43,-0.04,-0.08,0.08,0,0,,,,,,,,,,,,
10,1,5052.92,5614.35,1467.38,0,0,6439.06,176.36,0.36,0.15,1.69,154.79,4.16,0.15,52,0.07,0.08,-0.02,0,0,,,,,,,,,,,,
10,2,6189.41,8204.12,2562.07,2936.04,0,6044.51,150.9,0.74,0.27,21.25,237.91,17.26,0.09,64.86,0.07,0.08,-0.02,0,0,,,,,,,,,,,,
10,3,3332.39,3016.28,1168.81,0,0,-1019.58,-0.99,0.48,0.11,0.14,68.5,17.6,0,0,0.07,0.08,-0.02,0,0,,,,,,,,,,,,
11,1,5056.33,5481.98,1416.14,0,0,6388.88,175.64,0.35,0.16,1.8,153.57,3.86,0.08,69.18,0,-0.09,0.1,0,0,,,,,,,,,,,,
11,2,6016.91,8208.76,2555.27,2887.12,0,6068.04,147.21,0.7,0.29,25.89,235.86,15.7,0.12,55.86,0,-0.09,0.1,0,0,,,,,,,,,,,,
11,3,3259.02,3016.45,1167.79,0,0,-1055.63,-1.08,0.44,0.13,0.16,69.92,19.05,0,22.06,0,-0.09,0.1,0,0,,,,,,,,,,,,
12,1,5057.81,5474.15,1414.07,0,0,6411.09,172.68,0.38,0.15,1.73,153.65,4.56,0.17,70.72,-0.03,0.09,0.06,0,0,,,,,,,,,,,,
12,2,6130.52,8254.8,2573.92,2887.49,0,6113.73,145.96,0.78,0.27,22.75,235.93,18.42,0.11,70.64,-0.03,0.09,0.06,0,0,,,,,,,,,,,,
12,3,3329.49,2969.92,1149.8,0,0,-1070.69,-1.04,0.55,0.12,0.15,72.37,20.63,0,60.76,-0.03,0.09,0.06,0,0,,,,,,,,,,,,
13,1,5051.64,5620.6,1469.08,0,0,6452.46,177.18,0.34,0.15,1.67,154.76,3.72,0.13,57.55,0.09,0.02,-0.04,0,0,,,,,,,,,,,,
13,2,6158.94,8216.66,2566.29,2939.87,0,6037.76,152.8,0.68,0.27,21.52,238.23,16.11,0.13,90.23,0.09,0.02,-0.04,0,0,,,,,,,,,,,,
13,3,3337.59,3024.91,1172.15,0,0,-1004.59,-0.98,0.42,0.11,0.13,68.47,16.52,0,0,0.09,0.02,-0.04,0,0,,,,,,,,,,,,
14,1,5055.94,5598.72,1463.11,0,0,6385.26,175.4,0.37,0.15,1.77,154.63,4.3,0.16,63.74,0.01,0.04,0.08,0,0,,,,,,,,,,,,
14,2,6115.87,8233.28,2567.59,2946.19,0,6045.48,147.44,0.77,0.27,22.83,238.07,17.32,0.12,58.01,0.01,0.04,0.08,0,0,,,,,,,,,,,,
14,3,3275.42,3017.18,1169.12,0,0,-1060.72,-1.07,0.5,0.12,0.15,69.21,18.19,0,0,0.01,0.04,0.08,0,0,,,,,,,,,,,,
15,1,5128.45,5463.39,1411.22,0,0,6533.25,165.98,0.32,0.15,1.62,153.26,3.6,0.13,64.18,-0.08,-0.03,-0.08,0,0,,,,,,,,,,,,
15,2,6087.77,8416.05,2556.68,2878.73,0,6232.42,143.25,0.59,0.26,22.47,238.38,15.52,0.08,66.89,-0.08,-0.03,-0.08,0,0,,,,,,,,,,,,
15,3,3351.65,2956.77,1144.71,0,0,-962.6,-0.93,0.35,0.11,0.14,70.47,17.76,0,30.37,-0.08,-0.03,-0.08,0,0,,,,,,,,,,,,
16,1,5051.2,5622.69,1469.65,0,0,6355.3,181.67,0.36,0.16,1.8,154.85,4.03,0.13,54.45,0.1,0.01,0.09,0,0,,,,,,,,,,,,
16,2,6149.26,8220.84,2567.7,2941.15,0,5967.09,153.23,0.77,0.28,23.75,238.95,16.86,0.13,86.36,0.1,0.01,0.09,0,0,,,,,,,,,,,,
16,3,3320.24,3027.79,1173.27,0,0,-1077.48,-1.08,0.5,0.12,0.15,68.75,17.66,0,0,0.1,0.01,0.09,0,0,,,,,,,,,,,,
17,1,5053.34,5612.27,1466.81,0,0,6410.88,177.5,0.34,0.15,1.76,154.54,3.64,0.08,63.74,0.06,-0.08,0.03,0,0,,,,,,,,,,,,
17,2,6081.01,8199.94,2560.66,2934.76,0,6023.21,150.19,0.68,0.29,24.32,237.02,15.13,0.12,55.65,0.06,-0.08,0.03,0,0,,,,,,,,,,,,
17,3,3186.39,3073.23,1190.8,0,0,-1010.25,-1.04,0.39,0.12,0.15,67.26,17.09,0,0,0.06,-0.08,0.03,0,0,,,,,,,,,,,,
18,1,5054.77,5604.97,1464.82,0,0,6382.57,177.22,0.34,0.16,1.82,154.41,3.67,0.16,59.4,0.03,-0.1,0.08,0,0,,,,,,,,,,,,
18,2,6007.38,8245.9,2571.84,2950.04,0,6031.41,148.81,0.7,0.29,25.2,237.39,15.19,0.11,50.72,0.03,-0.1,0.08,0,0,,,,,,,,,,,,
18,3,3141.53,3025.84,1172.48,0,0,-1045,-1.08,0.4,0.13,0.16,67.63,17.3,0,0,0.03,-0.1,0.08,0,0,,,,,,,,,,,,
19,1,5055.75,5599.76,1463.4,0,0,6473.57,172,0.36,0.15,1.65,154.63,4.14,0.17,58.19,0.01,0.1,-0.05,0,0,,,,,,,,,,,,
19,2,6151.35,8235.38,2568.3,2946.83,0,6110.41,147.79,0.71,0.26,20.65,239.46,17.34,0.1,72.55,0.01,0.1,-0.05,0,0,,,,,,,,,,,,
19,3,3276.26,3018.62,1169.68,0,0,-996.95,-0.96,0.47,0.1,0.14,68.76,17.62,0,0,0.01,0.1,-0.05,0,0,,,,,,,,,,,,
20,1,5054.77,5604.97,1464.82,0,0,6456.61,174,0.34,0.15,1.7,154.46,3.7,0.14,54.02,0.03,-0.02,-0.02,0,0,,,,,,,,,,,,
20,2,6063.33,8245.9,2571.84,2950.04,0,6082.01,148.99,0.67,0.28,22.95,236.28,16.04,0.1,69.42,0.03,-0.02,-0.02,0,0,,,,,,,,,,,,
20,3,3280.47,3025.84,1172.48,0,0,-997.15,-0.99,0.43,0.12,0.14,67.58,17.67,0,0,0.03,-0.02,-0.02,0,0,,,,,,,,,,,,
21,1,5059.04,5467.3,1412.26,0,0,6443.95,170.17,0.35,0.15,1.69,153.47,3.99,0.13,68.04,-0.06,0.01,0.03,0,0,,,,,,,,,,,,
21,2,6131.39,8419.33,2557.46,2880.73,0,6164.07,144.04,0.69,0.27,23.26,236.13,16.83,0.13,89.63,-0.06,0.01,0.03,0,0,,,,,,,,,,,,
21,3,3358.37,2961.55,1146.56,0,0,-1038.85,-1.02,0.45,0.11,0.13,72.43,18.9,0,43.3,-0.06,0.01,0.03,0,0,,,,,,,,,,,,
22,1,5053.76,5610.18,1466.24,0,0,6503.71,172.89,0.34,0.15,1.62,154.72,3.72,0.14,61.67,0.05,0.03,-0.1,0,0,,,,,,,,,,,,
22,2,6104.23,8256.42,2575.37,2953.26,0,6109.31,150.66,0.64,0.26,20.49,242.42,15.84,0.12,75.41,0.05,0.03,-0.1,0,0,,,,,,,,,,,,
22,3,3284.68,3033.05,1175.28,0,0,-965.62,-0.92,0.38,0.1,0.13,68.45,15.86,0,0,0.05,0.03,-0.1,0,0,,,,,,,,,,,,
23,1,5053.96,5609.14,1465.96,0,0,6475.71,173.85,0.35,0.15,1.65,154.74,3.97,0.14,46.84,0.05,0.06,-0.06,0,0,,,,,,,,,,,,
23,2,6112.87,8254.31,2574.67,2952.61,0,6090.65,150.31,0.7,0.27,20.78,240.47,16.52,0.07,58.49,0.05,0.06,-0.06,0,0,,,,,,,,,,,,
23,3,3283.84,3031.61,1174.72,0,0,-990.95,-0.95,0.44,0.1,0.14,68.72,16.84,0,0,0.05,0.06,-0.06,0,0,,,,,,,,,,,,
24,1,5051.86,5619.56,1468.8,0,0,6486.76,175.34,0.35,0.15,1.63,154.86,3.97,0.15,53.03,0.09,0.08,-0.09,0,0,,,,,,,,,,,,
24,2,6193.57,8214.57,2565.59,2939.23,0,6072.15,152.47,0.7,0.26,20.27,241.47,16.71,0.08,66.13,0.09,0.08,-0.09,0,0,,,,,,,,,,,,
24,3,3336.72,3023.47,1171.59,0,0,-980.41,-0.93,0.43,0.1,0.14,68.09,16.65,0,0,0.09,0.08,-0.09,0,0,,,,,,,,,,,,
25,1,5053.13,5613.31,1467.09,0,0,6443.73,176.1,0.34,0.15,1.69,154.68,3.77,0.13,57.55,0.06,0.02,-0.02,0,0,,,,,,,,,,,,
25,2,6157.64,8202.03,2561.36,2935.4,0,6044.57,150.72,0.69,0.27,21.93,238.09,16.27,0.13,90.24,0.06,0.02,-0.02,0,0,,,,,,,,,,,,
25,3,3331.52,3014.85,1168.25,0,0,-1014.63,-0.99,0.43,0.11,0.13,68.56,16.79,0,0,0.06,0.02,-0.02,0,0,,,,,,,,,,,,
26,1,5129.07,5459.48,1410.19,0,0,6551.24,164.59,0.32,0.15,1.6,153.23,3.43,0.06,61.02,-0.1,-0.07,-0.09,0,0,,,,,,,,,,,,
26,2,6054.03,8411.86,2555.55,2876.65,0,6253.78,142.29,0.56,0.26,22.63,239.37,14.59,0.12,60.99,-0.1,-0.07,-0.09,0,0,,,,,,,,,,,,
26,3,3293.54,2951.98,1142.86,0,0,-946.79,-0.92,0.32,0.11,0.13,70.57,16.86,0,21.27,-0.1,-0.07,-0.09,0,0,,,,,,,,,,,,
27,1,5051.86,5619.56,1468.8,0,0,6407.96,179.17,0.33,0.15,1.77,154.57,3.57,0.16,60.49,0.09,-0.1,0.03,0,0,,,,,,,,,,,,
27,2,6074.32,8214.57,2565.59,2939.23,0,6007.76,152.25,0.69,0.29,24.42,237.24,14.92,0.11,51.9,0.09,-0.1,0.03,0,0,,,,,,,,,,,,
27,3,3190.72,3023.47,1171.59,0,0,-1024.11,-1.04,0.38,0.12,0.15,67.27,16.67,0,0,0.09,-0.1,0.03,0,0,,,,,,,,,,,,
28,1,5055.56,5600.8,1463.68,0,0,6486.34,171.79,0.35,0.15,1.65,154.64,3.97,0.14,47.87,0.01,0.06,-0.06,0,0,,,,,,,,,,,,
28,2,6125.75,8237.49,2569.01,2947.47,0,6115.39,148.12,0.69,0.26,20.64,240.9,16.53,0.07,59.78,0.01,0.06,-0.06,0,0,,,,,,,,,,,,
28,3,3277.1,3020.06,1170.24,0,0,-984.41,-0.95,0.43,0.1,0.13,68.66,16.79,0,0,0.01,0.06,-0.06,0,0,,,,,,,,,,,,
