Results of Monte Carlo test
,,Output parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Variation of input parameters
No.  ,  Year , Grain-C   , Shoot-C   , Root-C    , CutBiomassC, GrazedBiomassC, dSOC      , Field-CH4 , Field-N2O , Field-NO  , Field-N2  , Field-NH3 , Field-N-leach, Field-N-runoff, Field_runoff, Temp      , Prec      , SOC       , pH        
No.  ,  Year , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    
    1,      1,    5053.96,    5609.14,    1465.96,       0.00,       0.00,    6441.35,     176.33,       0.20,       0.12,       1.47,     159.80,       2.23,       0.11,      58.67,       0.05,      -0.05,       0.02,       0.17,      -0.06
    1,      2,    6035.90,    8254.31,    2574.67,    2952.61,       0.00,    6136.93,     152.83,       0.36,       0.21,      10.88,     239.85,       9.17,       0.05,      60.29,       0.05,      -0.05,       0.02,       0.17,      -0.06
    1,      3,    3256.35,    3031.61,    1174.72,       0.00,       0.00,   -1010.02,      -1.03,       0.08,       0.06,       0.08,      74.85,       8.76,       0.00,       0.00,       0.05,      -0.05,       0.02,       0.17,      -0.06
    2,      1,    5056.89,    5479.04,    1415.36,       0.00,       0.00,    6522.75,     169.61,       0.83,       0.33,       1.70,     130.24,       3.57,       0.11,      64.56,      -0.01,       0.00,      -0.08,      -0.13,      -0.08
    2,      2,    6088.56,    8246.49,    2570.17,    2888.97,       0.00,    6189.05,     147.79,       1.16,       0.49,      20.08,     203.48,      15.09,       0.10,      85.74,      -0.01,       0.00,      -0.08,      -0.13,      -0.08
    2,      3,    3262.29,    3012.80,    1166.38,       0.00,       0.00,    -978.02,      -0.93,       0.51,       0.13,       0.08,      61.26,      16.03,       0.00,      45.42,      -0.01,       0.00,      -0.08,      -0.13,      -0.08
    3,      1,    5128.76,    5461.44,    1410.71,       0.00,       0.00,    6474.16,     168.16,       0.32,       0.13,       1.59,     134.58,       3.91,       0.13,      65.86,      -0.09,       0.08,       0.02,       0.00,      -0.09
    3,      2,    6154.07,    8444.53,    2567.93,    2880.25,       0.00,    6238.58,     143.85,       0.65,       0.23,      17.36,     204.32,      15.39,       0.08,      65.55,      -0.09,       0.08,       0.02,       0.00,      -0.09
    3,      3,    3321.72,    2954.38,    1143.78,       0.00,       0.00,   -1026.67,      -1.00,       0.40,       0.09,       0.16,      64.95,      15.84,       0.00,      58.77,      -0.09,       0.08,       0.02,       0.00,      -0.09
    4,      1,    5052.92,    5614.35,    1467.38,       0.00,       0.00,    6363.77,     179.13,       0.38,       0.17,       1.84,     170.74,       4.72,       0.19,      54.06,       0.07,       0.08,       0.07,       0.02,       0.07
    4,      2,    6192.20,    8204.12,    2562.07,    2936.04,       0.00,    5967.12,     149.89,       0.83,       0.31,      26.67,     263.36,      19.82,       0.12,      67.42,       0.07,       0.08,       0.07,       0.02,       0.07
    4,      3,    3332.39,    3016.28,    1168.81,       0.00,       0.00,   -1078.73,      -1.06,       0.56,       0.13,       0.16,      75.75,      21.29,       0.00,       0.00,       0.07,       0.08,       0.07,       0.02,       0.07
    5,      1,    5052.50,    5616.44,    1467.95,       0.00,       0.00,    6474.71,     174.79,       1.47,       0.61,       2.17,     169.29,       4.11,       0.14,      65.91,       0.08,      -0.08,      -0.08,      -0.16,       0.12
    5,      2,    6087.47,    8208.30,    2563.48,    2937.32,       0.00,    6006.09,     147.95,       2.16,       1.00,      35.90,     267.38,      18.41,       0.15,      58.11,       0.08,      -0.08,      -0.08,      -0.16,       0.12
    5,      3,    3246.12,    3019.16,    1169.92,       0.00,       0.00,    -997.59,      -0.94,       0.66,       0.23,       0.08,      72.03,      24.21,       0.00,       0.00,       0.08,      -0.08,      -0.08,      -0.16,       0.12
    6,      1,    5053.96,    5609.14,    1465.96,       0.00,       0.00,    6430.23,     175.16,       0.41,       0.19,       1.82,     184.16,       4.50,       0.18,      53.42,       0.05,       0.00,      -0.02,      -0.02,       0.15
    6,      2,    6082.38,    8254.31,    2574.67,    2952.61,       0.00,    6007.48,     147.18,       0.81,       0.35,      33.37,     286.09,      20.11,       0.15,      85.09,       0.05,       0.00,      -0.02,      -0.02,       0.15
    6,      3,    3273.21,    3031.61,    1174.72,       0.00,       0.00,   -1035.88,      -0.99,       0.60,       0.15,       0.11,      80.41,      24.06,       0.00,       0.00,       0.05,       0.00,      -0.02,      -0.02,       0.15
    7,      1,    5128.76,    5461.44,    1410.71,       0.00,       0.00,    6480.00,     168.05,       0.23,       0.13,       1.50,     170.82,       2.84,       0.14,      72.73,      -0.09,       0.03,       0.01,       0.16,       0.00
    7,      2,    6134.49,    8437.31,    2565.14,    2879.65,       0.00,    6248.25,     144.98,       0.42,       0.23,      13.20,     259.83,      11.65,       0.12,      74.80,      -0.09,       0.03,       0.01,       0.16,       0.00
    7,      3,    3291.64,    2954.38,    1143.78,       0.00,       0.00,   -1024.64,      -1.00,       0.13,       0.07,       0.08,      86.60,      11.93,       0.00,      47.76,      -0.09,       0.03,       0.01,       0.16,       0.00
    8,      1,    5057.08,    5478.07,    1415.10,       0.00,       0.00,    6538.72,     169.68,       0.18,       0.10,       1.36,     139.75,       2.28,       0.09,      64.56,      -0.02,       0.00,      -0.07,       0.15,      -0.14
    8,      2,    6088.63,    8223.39,    2561.36,    2886.60,       0.00,    6264.34,     149.45,       0.33,       0.18,       8.77,     212.33,       9.05,       0.08,      85.74,      -0.02,       0.00,      -0.07,       0.15,      -0.14
    8,      3,    2480.33,    3011.58,    1165.91,       0.00,       0.00,    -963.80,      -0.94,       0.10,       0.05,       0.08,      73.24,       8.72,       0.00,      45.51,      -0.02,       0.00,      -0.07,       0.15,      -0.14
    9,      1,    5058.34,    5471.22,    1413.29,       0.00,       0.00,    6447.52,     171.16,       0.25,       0.14,       1.59,     180.25,       2.99,       0.18,      65.27,      -0.05,      -0.01,       0.03,       0.15,       0.05
    9,      2,    6067.63,    8210.16,    2557.00,    2882.46,       0.00,    6162.11,     146.47,       0.48,       0.26,      17.31,     274.15,      13.21,       0.10,      71.60,      -0.05,      -0.01,       0.03,       0.15,       0.05
    9,      3,    3316.76,    2966.33,    1148.41,       0.00,       0.00,   -1032.05,      -1.02,       0.16,       0.09,       0.09,      88.01,      14.83,       0.00,      40.82,      -0.05,      -0.01,       0.03,       0.15,       0.05
   10,      1,    5055.94,    5598.72,    1463.11,       0.00,       0.00,    6448.43,     173.06,       0.61,       0.25,       1.83,     156.13,       3.87,       0.08,      62.66,       0.01,      -0.09,      -0.01,      -0.08,       0.03
   10,      2,    6021.28,    8233.28,    2567.59,    2946.19,       0.00,    6056.12,     146.03,       0.97,       0.43,      29.43,     241.07,      16.55,       0.13,      54.47,       0.01,      -0.09,      -0.01,      -0.08,       0.03
   10,      3,    3269.12,    3017.18,    1169.12,       0.00,       0.00,   -1009.29,      -1.00,       0.53,       0.15,       0.11,      67.41,      19.70,       0.00,       0.00,       0.01,      -0.09,      -0.01,      -0.08,       0.03
   11,      1,    5058.69,    5469.26,    1412.78,       0.00,       0.00,    6483.98,     169.78,       0.32,       0.13,       1.56,     122.92,       3.26,       0.06,      62.21,      -0.06,      -0.07,       0.01,      -0.03,      -0.14
   11,      2,    6064.01,    8409.31,    2553.35,    2880.75,       0.00,    6236.81,     145.73,       0.58,       0.22,      17.66,     185.69,      12.86,       0.10,      62.22,      -0.06,      -0.07,       0.01,      -0.03,      -0.14
   11,      3,    3298.47,    2963.94,    1147.49,       0.00,       0.00,    -996.64,      -1.01,       0.34,       0.09,       0.15,      57.97,      13.75,       0.00,      22.08,      -0.06,      -0.07,       0.01,      -0.03,      -0.14
   12,      1,    5056.14,    5597.68,    1462.83,       0.00,       0.00,    6493.29,     170.95,       0.26,       0.15,       1.57,     200.15,       2.92,       0.19,      47.87,       0.00,       0.06,      -0.07,       0.17,       0.12
   12,      2,    6140.29,    8231.18,    2566.89,    2945.54,       0.00,    6131.20,     149.02,       0.46,       0.26,      15.04,     311.92,      12.43,       0.07,      59.79,       0.00,       0.06,      -0.07,       0.17,       0.12
   12,      3,    3274.57,    3015.73,    1168.56,       0.00,       0.00,    -992.38,      -0.94,       0.13,       0.07,       0.07,      93.77,      12.14,       0.00,       0.00,       0.00,       0.06,      -0.07,       0.17,       0.12
   13,      1,    5054.37,    5607.06,    1465.39,       0.00,       0.00,    6502.66,     173.07,       0.73,       0.28,       1.69,     125.17,       3.16,       0.07,      62.66,       0.04,      -0.09,      -0.07,      -0.12,      -0.11
